"Registrirano brezposelne osebe glede na trajanje brezposelnosti po:"
"LETO, KOHEZIJSKA / STATISTIÈNA REGIJA , MERITVE"

"2010"
" ";"SLOVENIJA"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";27978
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";3889
" ";"Savinjska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";104428
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";15232
" ";"Zasavska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";16443
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";2825
" ";"Posavska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";27830
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";4493
" ";"Jugovzhodna Slovenija"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";57671
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";8470
" ";"Primorsko-notranjska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";21803
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";2534
" ";"Zahodna Slovenija"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";391838
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";43030
" ";"Osrednjeslovenska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";218775
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";24575
" ";"Gorenjska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";81567
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";7991
" ";"Goriška"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";46345
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";5323
" ";"Obalno-kraška"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";45150
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";5142
"2013"
" ";"SLOVENIJA"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";793597
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";119827
" ";"Vzhodna Slovenija"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";409547
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";70307
" ";"Pomurska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";40783
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";8842
" ";"Podravska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";117887
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";20375
" ";"Koroška"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";27044
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";4368
" ";"Savinjska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";102554
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";16499
" ";"Zasavska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";15974
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";3173
" ";"Posavska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";27423
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";4750
" ";"Jugovzhodna Slovenija"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";56672
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";9328
" ";"Primorsko-notranjska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";21209
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";2973
" ";"Zahodna Slovenija"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";384049
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";48472
" ";"Osrednjeslovenska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";214996
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";27958
" ";"Gorenjska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";80277
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";8740
" ";"Goriška"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";45083
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";5962
" ";"Obalno-kraška"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";43694
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";5812
"2014"
" ";"SLOVENIJA"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";797792
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";120109
" ";"Vzhodna Slovenija"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";410433
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";69974
" ";"Pomurska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";40283
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";9094
" ";"Podravska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";119013
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";20061
" ";"Koroška"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";27088
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";4050
" ";"Savinjska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";102594
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";16583
" ";"Zasavska"
" ";" ";"Delovno aktivno prebivalstvo - SKUPAJ";15679
" ";" ";"Registrirano brezposelne osebe - SKUPAJ";3374
" ";"Posavska"
