"Študenti terciarnega izobraževanja po: STATISTIÈNA REGIJA, ŠTUDIJSKO"
"LETO, SPOL , VRSTA IZOBRAŽEVANJA"

" ";" ";"Spol - SKUPAJ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Moški";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Ženske";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";" ";"Vrsta izobraževanja - SKUPAJ";"Višje strokovno";"Visokošolsko strokovno (prejšnje)";"Visokošolsko strokovno (1. bolonjska stopnja)";"Visokošolsko univerzitetno (1. bolonjska stopnja)";"Visokošolsko univerzitetno (prejšnje)";"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Specialistièno";"Magistrsko (prejšnje)";"Doktorsko (prejšnje)";"Doktorsko (3. bolonjska stopnja)";"Vrsta izobraževanja - SKUPAJ";"Višje strokovno";"Visokošolsko strokovno (prejšnje)";"Visokošolsko strokovno (1. bolonjska stopnja)";"Visokošolsko univerzitetno (1. bolonjska stopnja)";"Visokošolsko univerzitetno (prejšnje)";"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Specialistièno";"Magistrsko (prejšnje)";"Doktorsko (prejšnje)";"Doktorsko (3. bolonjska stopnja)";"Vrsta izobraževanja - SKUPAJ";"Višje strokovno";"Visokošolsko strokovno (prejšnje)";"Visokošolsko strokovno (1. bolonjska stopnja)";"Visokošolsko univerzitetno (1. bolonjska stopnja)";"Visokošolsko univerzitetno (prejšnje)";"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Specialistièno";"Magistrsko (prejšnje)";"Doktorsko (prejšnje)";"Doktorsko (3. bolonjska stopnja)"
"SLOVENIJA"
" ";"2007/08";1285;39;138;76;187;530;8;62;4;120;94;27;544;23;51;45;80;206;3;34;1;50;38;13;741;16;87;31;107;324;5;28;3;70;56;14
" ";"2008/09";1673;86;144;122;278;569;28;112;11;168;113;42;680;53;53;61;100;200;7;60;3;70;51;22;993;33;91;61;178;369;21;52;8;98;62;20
" ";"2009/10";2083;109;83;205;534;360;69;333;8;115;90;177;845;55;32;86;209;120;22;137;1;49;43;91;1238;54;51;119;325;240;47;196;7;66;47;86
" ";"2010/11";2150;123;48;223;630;264;108;381;-;2;81;290;829;47;17;81;239;75;35;143;-;1;42;149;1321;76;31;142;391;189;73;238;-;1;39;141
" ";"2011/12";2566;153;25;328;792;171;144;499;-;-;51;403;1072;64;9;121;343;49;50;217;-;-;24;195;1494;89;16;207;449;122;94;282;-;-;27;208
" ";"2012/13";2612;118;5;411;878;103;169;654;-;-;9;265;1077;52;2;192;339;29;57;274;-;-;3;129;1535;66;3;219;539;74;112;380;-;-;6;136
" ";"2013/14";2534;121;1;368;845;32;185;734;-;-;1;247;1075;70;1;165;341;4;64;309;-;-;1;120;1459;51;-;203;504;28;121;425;-;-;-;127
" ";"2014/15";2354;102;-;278;823;8;220;698;-;-;-;225;1010;63;-;115;342;2;70;296;-;-;-;122;1344;39;-;163;481;6;150;402;-;-;-;103
" ";"2015/16";2675;156;-;352;914;1;236;789;-;-;-;227;1194;93;-;171;390;-;76;335;-;-;-;129;1481;63;-;181;524;1;160;454;-;-;-;98
" ";"2016/17";3090;239;-;435;1041;-;261;886;-;-;-;228;1406;152;-;223;447;-;82;376;-;-;-;126;1684;87;-;212;594;-;179;510;-;-;-;102
" ";"2017/18";3421;252;-;459;1154;-;266;1013;-;-;-;277;1519;144;-;225;507;-;81;417;-;-;-;145;1902;108;-;234;647;-;185;596;-;-;-;132

"Vir: Statistièni urad Republike Slovenije. "
"Podatki o vpisu študentov se zajemajo po stanju 15.10. in se za "
"doloèeno izkazano leto (npr. 2009) nanašajo na tekoèe študijsko leto "
"(npr. 2009/10)."

"Povezane vsebine: "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=7784 target=_blank) Metodološka pojasnila "
" "

"Podatki so teritorialno razvršèeni po Klasifikaciji statistiènih "
"teritorialnih enot v Evropski uniji (The Classification  of "
"Territorial Units for Statistics) – NUTS ((seznam "
"HREF=../database/Meta/Klas/NUTS.htm TARGET=_blank) opis in "
"pojasnila), raven NUTS 3. "
"Opombe o spremembah posameznih regij so zapisane k vsaki spremenjeni "
"regiji in so ob izpisu tabele na zaslon dostopne s klikom na ikono za "
"opombe (zvezdica). V opombah je na zaèetku naveden datum, s katerim "
"je opisana teritorialna sprememba upoštevana pri teritorialnem "
"razvršèanju enot za statistiène namene.  "
" "

"Podatki vkljuèujejo specialistièni povisokošolski študij in "
"specialistièni pouniverzitetni študij."

