"Osnovne šole in uèenci po: ŠOLSKO LETO, VRSTA ŠOLE, STATISTIÈNA REGIJA"
", MERITVE"

"2007/08"
" ";"Osnovne šole"
" ";" ";"SLOVENIJA"
" ";" ";" ";"Deklice";4446
" ";" ";"Obalno-kraška"
" ";" ";" ";"Uèenci";7266
" ";" ";" ";"Deèki";3753
" ";" ";" ";"Deklice";3513
"2010/11"
" ";"Osnovne šole"
" ";" ";"SLOVENIJA"
" ";" ";" ";"Uèenci";159508
" ";" ";" ";"Deèki";81956
" ";" ";" ";"Deklice";77552
" ";" ";"Pomurska"
" ";" ";" ";"Uèenci";8881
" ";" ";" ";"Deèki";4481
" ";" ";" ";"Deklice";4400
" ";" ";"Podravska"
" ";" ";" ";"Uèenci";23367
" ";" ";" ";"Deèki";12008
" ";" ";" ";"Deklice";11359
" ";" ";"Koroška"
" ";" ";" ";"Uèenci";5913
" ";" ";" ";"Deèki";2956
" ";" ";" ";"Deklice";2957
" ";" ";"Savinjska"
" ";" ";" ";"Uèenci";21178
" ";" ";" ";"Deèki";10858
" ";" ";" ";"Deklice";10320
" ";" ";"Zasavska"
" ";" ";" ";"Uèenci";3100
" ";" ";" ";"Deèki";1616
" ";" ";" ";"Deklice";1484
" ";" ";"Posavska"
" ";" ";" ";"Uèenci";5524
" ";" ";" ";"Deèki";2852
" ";" ";" ";"Deklice";2672
" ";" ";"Jugovzhodna Slovenija"
" ";" ";" ";"Uèenci";11861
" ";" ";" ";"Deèki";6033
" ";" ";" ";"Deklice";5828
" ";" ";"Osrednjeslovenska"
" ";" ";" ";"Uèenci";42188
" ";" ";" ";"Deèki";21863
" ";" ";" ";"Deklice";20325
" ";" ";"Gorenjska"
" ";" ";" ";"Uèenci";17025
" ";" ";" ";"Deèki";8804
" ";" ";" ";"Deklice";8221
" ";" ";"Primorsko-notranjska"
" ";" ";" ";"Uèenci";4032
" ";" ";" ";"Deèki";2034
" ";" ";" ";"Deklice";1998
" ";" ";"Goriška"
" ";" ";" ";"Uèenci";9058
" ";" ";" ";"Deèki";4634
" ";" ";" ";"Deklice";4424
" ";" ";"Obalno-kraška"
" ";" ";" ";"Uèenci";7381
" ";" ";" ";"Deèki";3817
" ";" ";" ";"Deklice";3564
"2011/12"
" ";"Osnovne šole"
" ";" ";"SLOVENIJA"
" ";" ";" ";"Uèenci";159701
" ";" ";" ";"Deèki";81969
" ";" ";" ";"Deklice";77732
" ";" ";"Pomurska"
" ";" ";" ";"Uèenci";8704
" ";" ";" ";"Deèki";4341
" ";" ";" ";"Deklice";4363
" ";" ";"Podravska"
" ";" ";" ";"Uèenci";23231
" ";" ";" ";"Deèki";11900
" ";" ";" ";"Deklice";11331
" ";" ";"Koroška"
" ";" ";" ";"Uèenci";5834
" ";" ";" ";"Deèki";2936
" ";" ";" ";"Deklice";2898
" ";" ";"Savinjska"
" ";" ";" ";"Uèenci";21214
" ";" ";" ";"Deèki";10920
" ";" ";" ";"Deklice";10294
" ";" ";"Zasavska"
" ";" ";" ";"Uèenci";3054
" ";" ";" ";"Deèki";1580
" ";" ";" ";"Deklice";1474
" ";" ";"Posavska"
" ";" ";" ";"Uèenci";5501
" ";" ";" ";"Deèki";2817
" ";" ";" ";"Deklice";2684
" ";" ";"Jugovzhodna Slovenija"
" ";" ";" ";"Uèenci";11861
" ";" ";" ";"Deèki";6040
" ";" ";" ";"Deklice";5821
" ";" ";"Osrednjeslovenska"
" ";" ";" ";"Uèenci";42718
" ";" ";" ";"Deèki";22084
" ";" ";" ";"Deklice";20634
" ";" ";"Gorenjska"
" ";" ";" ";"Uèenci";17049
" ";" ";" ";"Deèki";8837
" ";" ";" ";"Deklice";8212
" ";" ";"Primorsko-notranjska"
" ";" ";" ";"Uèenci";4042
" ";" ";" ";"Deèki";2044
" ";" ";" ";"Deklice";1998
" ";" ";"Goriška"
" ";" ";" ";"Uèenci";9062
" ";" ";" ";"Deèki";4619
" ";" ";" ";"Deklice";4443
" ";" ";"Obalno-kraška"
" ";" ";" ";"Uèenci";7431
" ";" ";" ";"Deèki";3851
" ";" ";" ";"Deklice";3580
"2012/13"
" ";"Osnovne šole"
" ";" ";"SLOVENIJA"
" ";" ";" ";"Uèenci";161051
" ";" ";" ";"Deèki";82642
" ";" ";" ";"Deklice";78409
" ";" ";"Pomurska"
" ";" ";" ";"Uèenci";8637
" ";" ";" ";"Deèki";4322
" ";" ";" ";"Deklice";4315
" ";" ";"Podravska"
" ";" ";" ";"Uèenci";23445
" ";" ";" ";"Deèki";11992
" ";" ";" ";"Deklice";11453
" ";" ";"Koroška"
" ";" ";" ";"Uèenci";5788
" ";" ";" ";"Deèki";2901
" ";" ";" ";"Deklice";2887
" ";" ";"Savinjska"
" ";" ";" ";"Uèenci";21263
" ";" ";" ";"Deèki";11033
" ";" ";" ";"Deklice";10230
" ";" ";"Zasavska"
" ";" ";" ";"Uèenci";3039
" ";" ";" ";"Deèki";1579
" ";" ";" ";"Deklice";1460
" ";" ";"Posavska"
" ";" ";" ";"Uèenci";5487
" ";" ";" ";"Deèki";2784
" ";" ";" ";"Deklice";2703
" ";" ";"Jugovzhodna Slovenija"
" ";" ";" ";"Uèenci";11851
" ";" ";" ";"Deèki";6016
" ";" ";" ";"Deklice";5835
" ";" ";"Osrednjeslovenska"
" ";" ";" ";"Uèenci";43664
" ";" ";" ";"Deèki";22580
" ";" ";" ";"Deklice";21084
" ";" ";"Gorenjska"
" ";" ";" ";"Uèenci";17237
" ";" ";" ";"Deèki";8911
" ";" ";" ";"Deklice";8326
" ";" ";"Primorsko-notranjska"
" ";" ";" ";"Uèenci";4078
" ";" ";" ";"Deèki";2044
" ";" ";" ";"Deklice";2034
" ";" ";"Goriška"
" ";" ";" ";"Uèenci";8995
" ";" ";" ";"Deèki";4585
" ";" ";" ";"Deklice";4410
" ";" ";"Obalno-kraška"
" ";" ";" ";"Uèenci";7567
" ";" ";" ";"Deèki";3895
" ";" ";" ";"Deklice";3672
"2013/14"
" ";"Osnovne šole"
" ";" ";"SLOVENIJA"
" ";" ";" ";"Uèenci";163229
" ";" ";" ";"Deèki";83733
" ";" ";" ";"Deklice";79496
" ";" ";"Pomurska"
" ";" ";" ";"Uèenci";8623
" ";" ";" ";"Deèki";4339
" ";" ";" ";"Deklice";4284
" ";" ";"Podravska"
" ";" ";" ";"Uèenci";23590
" ";" ";" ";"Deèki";12103
" ";" ";" ";"Deklice";11487
" ";" ";"Koroška"
" ";" ";" ";"Uèenci";5699
" ";" ";" ";"Deèki";2868
" ";" ";" ";"Deklice";2831
" ";" ";"Savinjska"
" ";" ";" ";"Uèenci";21425
" ";" ";" ";"Deèki";11024
" ";" ";" ";"Deklice";10401
" ";" ";"Zasavska"
" ";" ";" ";"Uèenci";3051
" ";" ";" ";"Deèki";1592
" ";" ";" ";"Deklice";1459
" ";" ";"Posavska"
" ";" ";" ";"Uèenci";5512
" ";" ";" ";"Deèki";2814
" ";" ";" ";"Deklice";2698
" ";" ";"Jugovzhodna Slovenija"
" ";" ";" ";"Uèenci";12010
" ";" ";" ";"Deèki";6114
" ";" ";" ";"Deklice";5896
" ";" ";"Osrednjeslovenska"
" ";" ";" ";"Uèenci";44775
" ";" ";" ";"Deèki";23073
" ";" ";" ";"Deklice";21702
" ";" ";"Gorenjska"
" ";" ";" ";"Uèenci";17496
" ";" ";" ";"Deèki";9046
" ";" ";" ";"Deklice";8450
" ";" ";"Primorsko-notranjska"
" ";" ";" ";"Uèenci";4181
" ";" ";" ";"Deèki";2125
" ";" ";" ";"Deklice";2056
" ";" ";"Goriška"
" ";" ";" ";"Uèenci";9113
" ";" ";" ";"Deèki";4637
" ";" ";" ";"Deklice";4476
" ";" ";"Obalno-kraška"
" ";" ";" ";"Uèenci";7754
" ";" ";" ";"Deèki";3998
" ";" ";" ";"Deklice";3756
"2014/15"
" ";"Osnovne šole"
" ";" ";"SLOVENIJA"
" ";" ";" ";"Uèenci";167249
" ";" ";" ";"Deèki";85660
" ";" ";" ";"Deklice";81589
" ";" ";"Pomurska"
" ";" ";" ";"Uèenci";8715
" ";" ";" ";"Deèki";4330
" ";" ";" ";"Deklice";4385
" ";" ";"Podravska"
" ";" ";" ";"Uèenci";24065
" ";" ";" ";"Deèki";12325
" ";" ";" ";"Deklice";11740
" ";" ";"Koroška"
" ";" ";" ";"Uèenci";5827
" ";" ";" ";"Deèki";2953
" ";" ";" ";"Deklice";2874
" ";" ";"Savinjska"
" ";" ";" ";"Uèenci";21807
" ";" ";" ";"Deèki";11188
" ";" ";" ";"Deklice";10619
" ";" ";"Zasavska"
" ";" ";" ";"Uèenci";3065
" ";" ";" ";"Deèki";1608
" ";" ";" ";"Deklice";1457
" ";" ";"Posavska"
" ";" ";" ";"Uèenci";5624
" ";" ";" ";"Deèki";2878
" ";" ";" ";"Deklice";2746
" ";" ";"Jugovzhodna Slovenija"
" ";" ";" ";"Uèenci";12242
" ";" ";" ";"Deèki";6274
" ";" ";" ";"Deklice";5968
" ";" ";"Osrednjeslovenska"
" ";" ";" ";"Uèenci";46299
" ";" ";" ";"Deèki";23747
" ";" ";" ";"Deklice";22552
" ";" ";"Gorenjska"
" ";" ";" ";"Uèenci";17849
" ";" ";" ";"Deèki";9202
" ";" ";" ";"Deklice";8647
" ";" ";"Primorsko-notranjska"
" ";" ";" ";"Uèenci";4261
" ";" ";" ";"Deèki";2171
" ";" ";" ";"Deklice";2090
" ";" ";"Goriška"
" ";" ";" ";"Uèenci";9305
" ";" ";" ";"Deèki";4747
" ";" ";" ";"Deklice";4558
" ";" ";"Obalno-kraška"
" ";" ";" ";"Uèenci";8190
" ";" ";" ";"Deèki";4237
" ";" ";" ";"Deklice";3953
"2015/16"
" ";"Osnovne šole"
" ";" ";"SLOVENIJA"
" ";" ";" ";"Uèenci";170067
" ";" ";" ";"Deèki";87120
" ";" ";" ";"Deklice";82947
" ";" ";"Pomurska"
" ";" ";" ";"Uèenci";8793
" ";" ";" ";"Deèki";4403
" ";" ";" ";"Deklice";4390
" ";" ";"Podravska"
" ";" ";" ";"Uèenci";24431
" ";" ";" ";"Deèki";12479
" ";" ";" ";"Deklice";11952
" ";" ";"Koroška"
" ";" ";" ";"Uèenci";5851
" ";" ";" ";"Deèki";2952
" ";" ";" ";"Deklice";2899
" ";" ";"Savinjska"
" ";" ";" ";"Uèenci";22156
" ";" ";" ";"Deèki";11407
" ";" ";" ";"Deklice";10749
" ";" ";"Zasavska"
" ";" ";" ";"Uèenci";3161
" ";" ";" ";"Deèki";1648
" ";" ";" ";"Deklice";1513
" ";" ";"Posavska"
" ";" ";" ";"Uèenci";5668
" ";" ";" ";"Deèki";2909
" ";" ";" ";"Deklice";2759
" ";" ";"Jugovzhodna Slovenija"
" ";" ";" ";"Uèenci";12329
" ";" ";" ";"Deèki";6357
" ";" ";" ";"Deklice";5972
" ";" ";"Osrednjeslovenska"
" ";" ";" ";"Uèenci";47177
" ";" ";" ";"Deèki";24206
" ";" ";" ";"Deklice";22971
" ";" ";"Gorenjska"
" ";" ";" ";"Uèenci";18181
" ";" ";" ";"Deèki";9327
" ";" ";" ";"Deklice";8854
" ";" ";"Primorsko-notranjska"
" ";" ";" ";"Uèenci";4344
" ";" ";" ";"Deèki";2222
" ";" ";" ";"Deklice";2122
" ";" ";"Goriška"
" ";" ";" ";"Uèenci";9483
" ";" ";" ";"Deèki";4865
" ";" ";" ";"Deklice";4618
" ";" ";"Obalno-kraška"
" ";" ";" ";"Uèenci";8493
" ";" ";" ";"Deèki";4345
" ";" ";" ";"Deklice";4148
"2016/17"
" ";"Osnovne šole"
" ";" ";"SLOVENIJA"
" ";" ";" ";"Uèenci";174996
" ";" ";" ";"Deèki";89600
" ";" ";" ";"Deklice";85396
" ";" ";"Pomurska"
" ";" ";" ";"Uèenci";8844
" ";" ";" ";"Deèki";4433
" ";" ";" ";"Deklice";4411
" ";" ";"Podravska"
" ";" ";" ";"Uèenci";25011
" ";" ";" ";"Deèki";12742
" ";" ";" ";"Deklice";12269
" ";" ";"Koroška"
" ";" ";" ";"Uèenci";5917
" ";" ";" ";"Deèki";2982
" ";" ";" ";"Deklice";2935
" ";" ";"Savinjska"
" ";" ";" ";"Uèenci";22142
" ";" ";" ";"Deèki";11371
" ";" ";" ";"Deklice";10771
" ";" ";"Zasavska"
" ";" ";" ";"Uèenci";4468
" ";" ";" ";"Deèki";2318
" ";" ";" ";"Deklice";2150
" ";" ";"Posavska"
" ";" ";" ";"Uèenci";6297
" ";" ";" ";"Deèki";3202
" ";" ";" ";"Deklice";3095
" ";" ";"Jugovzhodna Slovenija"
" ";" ";" ";"Uèenci";12613
" ";" ";" ";"Deèki";6529
" ";" ";" ";"Deklice";6084
" ";" ";"Osrednjeslovenska"
" ";" ";" ";"Uèenci";48060
" ";" ";" ";"Deèki";24730
" ";" ";" ";"Deklice";23330
" ";" ";"Gorenjska"
" ";" ";" ";"Uèenci";18636
" ";" ";" ";"Deèki";9529
" ";" ";" ";"Deklice";9107
" ";" ";"Primorsko-notranjska"
" ";" ";" ";"Uèenci";4479
" ";" ";" ";"Deèki";2287
" ";" ";" ";"Deklice";2192
" ";" ";"Goriška"
" ";" ";" ";"Uèenci";9730
" ";" ";" ";"Deèki";4990
" ";" ";" ";"Deklice";4740
" ";" ";"Obalno-kraška"
