"Študenti terciarnega izobraževanja po: ŠTUDIJSKO LETO, STATISTIÈNA"
"REGIJA, VRSTA IZOBRAŽEVANJA , SPOL"

"2007/08"
" ";"SLOVENIJA"
" ";" ";"Višje strokovno"
" ";" ";"Doktorsko (3. bolonjska stopnja)"
" ";" ";" ";"Moški";6
" ";" ";" ";"Ženske";8
" ";"Savinjska"
" ";" ";"Višje strokovno"
" ";" ";" ";"Moški";1292
" ";" ";" ";"Ženske";1251
" ";" ";"Visokošolsko strokovno (prejšnje)"
" ";" ";" ";"Moški";1489
" ";" ";" ";"Ženske";2205
" ";" ";"Visokošolsko strokovno (1. bolonjska stopnja)"
" ";" ";" ";"Moški";558
" ";" ";" ";"Ženske";894
" ";" ";"Visokošolsko univerzitetno (1. bolonjska stopnja)"
" ";" ";" ";"Moški";551
" ";" ";" ";"Ženske";712
" ";" ";"Visokošolsko univerzitetno (prejšnje)"
" ";" ";" ";"Moški";1731
" ";" ";" ";"Ženske";3139
" ";" ";"Magistrsko (2. bolonjska stopnja) - enovito magistrsko"
" ";" ";" ";"Moški";5
" ";" ";" ";"Ženske";9
" ";" ";"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji"
" ";" ";" ";"Moški";105
" ";" ";" ";"Ženske";212
" ";" ";"Specialistièno"
" ";" ";" ";"Moški";24
" ";" ";" ";"Ženske";20
" ";" ";"Magistrsko (prejšnje)"
" ";" ";" ";"Moški";238
" ";" ";" ";"Ženske";349
" ";" ";"Doktorsko (prejšnje)"
" ";" ";" ";"Moški";66
" ";" ";" ";"Ženske";51
" ";" ";"Doktorsko (3. bolonjska stopnja)"
" ";" ";" ";"Moški";18
" ";" ";" ";"Ženske";13
" ";"Zasavska"
" ";" ";"Višje strokovno"
" ";" ";" ";"Moški";216
" ";" ";" ";"Ženske";174
" ";" ";"Visokošolsko strokovno (prejšnje)"
" ";" ";" ";"Moški";260
" ";" ";" ";"Ženske";324
" ";" ";"Visokošolsko strokovno (1. bolonjska stopnja)"
" ";" ";" ";"Moški";68
" ";" ";" ";"Ženske";156
" ";" ";"Visokošolsko univerzitetno (1. bolonjska stopnja)"
" ";" ";" ";"Moški";78
" ";" ";" ";"Ženske";149
" ";" ";"Visokošolsko univerzitetno (prejšnje)"
" ";" ";" ";"Moški";267
" ";" ";" ";"Ženske";525
" ";" ";"Magistrsko (2. bolonjska stopnja) - enovito magistrsko"
" ";" ";" ";"Moški";1
" ";" ";" ";"Ženske";-
" ";" ";"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji"
" ";" ";" ";"Moški";15
" ";" ";" ";"Ženske";30
" ";" ";"Specialistièno"
" ";" ";" ";"Moški";7
" ";" ";" ";"Ženske";8
" ";" ";"Magistrsko (prejšnje)"
" ";" ";" ";"Moški";33
" ";" ";" ";"Ženske";56
" ";" ";"Doktorsko (prejšnje)"
" ";" ";" ";"Moški";6
" ";" ";" ";"Ženske";10
" ";" ";"Doktorsko (3. bolonjska stopnja)"
" ";" ";" ";"Moški";1
" ";" ";" ";"Ženske";2
" ";"Posavska"
" ";" ";"Višje strokovno"
" ";" ";" ";"Moški";292
" ";" ";" ";"Ženske";230
" ";" ";"Visokošolsko strokovno (prejšnje)"
" ";" ";" ";"Moški";448
" ";" ";" ";"Ženske";532
" ";" ";"Visokošolsko strokovno (1. bolonjska stopnja)"
" ";" ";" ";"Moški";189
" ";" ";" ";"Ženske";266
" ";" ";"Visokošolsko univerzitetno (1. bolonjska stopnja)"
" ";" ";" ";"Moški";116
" ";" ";" ";"Ženske";200
" ";" ";"Visokošolsko univerzitetno (prejšnje)"
" ";" ";" ";"Moški";517
" ";" ";" ";"Ženske";886
" ";" ";"Magistrsko (2. bolonjska stopnja) - enovito magistrsko"
" ";" ";" ";"Moški";3
" ";" ";" ";"Ženske";3
" ";" ";"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji"
" ";" ";" ";"Moški";23
" ";" ";" ";"Ženske";46
" ";" ";"Specialistièno"
" ";" ";" ";"Moški";9
" ";" ";" ";"Ženske";5
" ";" ";"Magistrsko (prejšnje)"
" ";" ";" ";"Moški";48
" ";" ";" ";"Ženske";59
" ";" ";"Doktorsko (prejšnje)"
" ";" ";" ";"Moški";16
" ";" ";" ";"Ženske";6
" ";" ";"Doktorsko (3. bolonjska stopnja)"
" ";" ";" ";"Moški";1
" ";" ";" ";"Ženske";2
" ";"Jugovzhodna Slovenija"
" ";" ";"Višje strokovno"
" ";" ";" ";"Moški";543
" ";" ";" ";"Ženske";549
" ";" ";"Visokošolsko strokovno (prejšnje)"
" ";" ";" ";"Moški";1062
" ";" ";" ";"Ženske";1217
" ";" ";"Visokošolsko strokovno (1. bolonjska stopnja)"
" ";" ";" ";"Moški";300
" ";" ";" ";"Ženske";490
" ";" ";"Visokošolsko univerzitetno (1. bolonjska stopnja)"
" ";" ";" ";"Moški";231
" ";" ";" ";"Ženske";421
" ";" ";"Visokošolsko univerzitetno (prejšnje)"
" ";" ";" ";"Moški";1021
" ";" ";" ";"Ženske";1868
" ";" ";"Magistrsko (2. bolonjska stopnja) - enovito magistrsko"
" ";" ";" ";"Moški";5
" ";" ";" ";"Ženske";2
" ";" ";"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji"
" ";" ";" ";"Moški";95
" ";" ";" ";"Ženske";165
" ";" ";"Specialistièno"
" ";" ";" ";"Moški";15
" ";" ";" ";"Ženske";8
" ";" ";"Magistrsko (prejšnje)"
" ";" ";" ";"Moški";90
" ";" ";" ";"Ženske";142
" ";" ";"Doktorsko (prejšnje)"
" ";" ";" ";"Moški";23
" ";" ";" ";"Ženske";16
" ";" ";"Doktorsko (3. bolonjska stopnja)"
" ";" ";" ";"Moški";3
" ";" ";" ";"Ženske";4
" ";"Osrednjeslovenska"
" ";" ";"Višje strokovno"
" ";" ";" ";"Moški";1723
" ";" ";" ";"Ženske";1928
" ";" ";"Visokošolsko strokovno (prejšnje)"
" ";" ";" ";"Moški";3097
" ";" ";" ";"Ženske";3412
" ";" ";"Visokošolsko strokovno (1. bolonjska stopnja)"
" ";" ";" ";"Moški";1137
" ";" ";" ";"Ženske";1947
" ";" ";"Visokošolsko univerzitetno (1. bolonjska stopnja)"
" ";" ";" ";"Moški";1248
" ";" ";" ";"Ženske";2090
" ";" ";"Visokošolsko univerzitetno (prejšnje)"
" ";" ";" ";"Moški";4503
" ";" ";" ";"Ženske";7070
" ";" ";"Magistrsko (2. bolonjska stopnja) - enovito magistrsko"
" ";" ";" ";"Moški";47
" ";" ";" ";"Ženske";43
" ";" ";"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji"
" ";" ";" ";"Moški";379
" ";" ";" ";"Ženske";469
" ";" ";"Specialistièno"
" ";" ";" ";"Moški";65
" ";" ";" ";"Ženske";74
" ";" ";"Magistrsko (prejšnje)"
" ";" ";" ";"Moški";572
" ";" ";" ";"Ženske";800
" ";" ";"Doktorsko (prejšnje)"
" ";" ";" ";"Moški";232
" ";" ";" ";"Ženske";219
" ";" ";"Doktorsko (3. bolonjska stopnja)"
" ";" ";" ";"Moški";33
" ";" ";" ";"Ženske";56
" ";"Gorenjska"
" ";" ";"Višje strokovno"
" ";" ";" ";"Moški";1008
" ";" ";" ";"Ženske";884
" ";" ";"Visokošolsko strokovno (prejšnje)"
" ";" ";" ";"Moški";1172
" ";" ";" ";"Ženske";1330
" ";" ";"Visokošolsko strokovno (1. bolonjska stopnja)"
" ";" ";" ";"Moški";437
" ";" ";" ";"Ženske";778
" ";" ";"Visokošolsko univerzitetno (1. bolonjska stopnja)"
" ";" ";" ";"Moški";422
" ";" ";" ";"Ženske";770
" ";" ";"Visokošolsko univerzitetno (prejšnje)"
" ";" ";" ";"Moški";1613
" ";" ";" ";"Ženske";2722
" ";" ";"Magistrsko (2. bolonjska stopnja) - enovito magistrsko"
" ";" ";" ";"Moški";14
" ";" ";" ";"Ženske";21
" ";" ";"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji"
" ";" ";" ";"Moški";120
" ";" ";" ";"Ženske";161
" ";" ";"Specialistièno"
" ";" ";" ";"Moški";28
" ";" ";" ";"Ženske";32
" ";" ";"Magistrsko (prejšnje)"
" ";" ";" ";"Moški";169
" ";" ";" ";"Ženske";235
" ";" ";"Doktorsko (prejšnje)"
" ";" ";" ";"Moški";68
" ";" ";" ";"Ženske";55
" ";" ";"Doktorsko (3. bolonjska stopnja)"
" ";" ";" ";"Moški";12
" ";" ";" ";"Ženske";12
" ";"Primorsko-notranjska"
" ";" ";"Višje strokovno"
" ";" ";" ";"Moški";266
" ";" ";" ";"Ženske";204
" ";" ";"Visokošolsko strokovno (prejšnje)"
