"Osnovne šole in uèenci po: ŠOLSKO LETO, VRSTA ŠOLE, STATISTIÈNA REGIJA"
", MERITVE"

" ";" ";" ";"Uèenci";"Deèki";"Deklice"
" ";" ";"Jugovzhodna Slovenija";12367;6354;6013
" ";" ";"Osrednjeslovenska";46825;24103;22722
" ";" ";"Gorenjska";18010;9298;8712
" ";" ";"Primorsko-notranjska";4301;2195;2106
" ";" ";"Goriška";9396;4802;4594
" ";" ";"Obalno-kraška";8280;4301;3979
" ";"Osnovne šole"
" ";" ";"SLOVENIJA";167249;85660;81589
" ";" ";"Pomurska";8715;4330;4385
" ";" ";"Podravska";24065;12325;11740
" ";" ";"Koroška";5827;2953;2874
" ";" ";"Savinjska";21807;11188;10619
" ";" ";"Zasavska";3065;1608;1457
" ";" ";"Posavska";5624;2878;2746
" ";" ";"Jugovzhodna Slovenija";12242;6274;5968
" ";" ";"Osrednjeslovenska";46299;23747;22552
" ";" ";"Gorenjska";17849;9202;8647
" ";" ";"Primorsko-notranjska";4261;2171;2090
" ";" ";"Goriška";9305;4747;4558
" ";" ";"Obalno-kraška";8190;4237;3953
" ";"Osnovne šole in zavodi s prilagojenim programom"
" ";" ";"SLOVENIJA";1852;1155;697
" ";" ";"Pomurska";91;62;29
" ";" ";"Podravska";300;179;121
" ";" ";"Koroška";57;34;23
" ";" ";"Savinjska";253;143;110
" ";" ";"Zasavska";49;23;26
" ";" ";"Posavska";69;39;30
" ";" ";"Jugovzhodna Slovenija";125;80;45
" ";" ";"Osrednjeslovenska";526;356;170
" ";" ";"Gorenjska";161;96;65
" ";" ";"Primorsko-notranjska";40;24;16
" ";" ";"Goriška";91;55;36
" ";" ";"Obalno-kraška";90;64;26
"2015/16"
" ";"Šole - SKUPAJ"
" ";" ";"SLOVENIJA";172013;88340;83673
" ";" ";"Pomurska";8881;4462;4419
" ";" ";"Podravska";24763;12671;12092
" ";" ";"Koroška";5901;2981;2920
" ";" ";"Savinjska";22423;11563;10860
" ";" ";"Zasavska";3202;1667;1535
" ";" ";"Posavska";5744;2956;2788
" ";" ";"Jugovzhodna Slovenija";12461;6443;6018
" ";" ";"Osrednjeslovenska";47731;24579;23152
" ";" ";"Gorenjska";18352;9433;8919
" ";" ";"Primorsko-notranjska";4390;2249;2141
" ";" ";"Goriška";9584;4931;4653
" ";" ";"Obalno-kraška";8581;4405;4176
" ";"Osnovne šole"
" ";" ";"SLOVENIJA";170067;87120;82947
" ";" ";"Pomurska";8793;4403;4390
" ";" ";"Podravska";24431;12479;11952
" ";" ";"Koroška";5851;2952;2899
" ";" ";"Savinjska";22156;11407;10749
" ";" ";"Zasavska";3161;1648;1513
" ";" ";"Posavska";5668;2909;2759
" ";" ";"Jugovzhodna Slovenija";12329;6357;5972
" ";" ";"Osrednjeslovenska";47177;24206;22971
" ";" ";"Gorenjska";18181;9327;8854
" ";" ";"Primorsko-notranjska";4344;2222;2122
" ";" ";"Goriška";9483;4865;4618
" ";" ";"Obalno-kraška";8493;4345;4148
" ";"Osnovne šole in zavodi s prilagojenim programom"
" ";" ";"SLOVENIJA";1946;1220;726
" ";" ";"Pomurska";88;59;29
" ";" ";"Podravska";332;192;140
" ";" ";"Koroška";50;29;21
" ";" ";"Savinjska";267;156;111
" ";" ";"Zasavska";41;19;22
" ";" ";"Posavska";76;47;29
" ";" ";"Jugovzhodna Slovenija";132;86;46
" ";" ";"Osrednjeslovenska";554;373;181
" ";" ";"Gorenjska";171;106;65
" ";" ";"Primorsko-notranjska";46;27;19
" ";" ";"Goriška";101;66;35
" ";" ";"Obalno-kraška";88;60;28
"2016/17"
" ";"Šole - SKUPAJ"
" ";" ";"SLOVENIJA";176898;90857;86041
" ";" ";"Pomurska";8931;4493;4438
" ";" ";"Podravska";25324;12936;12388
" ";" ";"Koroška";5968;3016;2952
" ";" ";"Savinjska";22362;11513;10849
" ";" ";"Zasavska";4529;2354;2175
" ";" ";"Posavska";6353;3240;3113
" ";" ";"Jugovzhodna Slovenija";12750;6617;6133
" ";" ";"Osrednjeslovenska";48623;25117;23506
" ";" ";"Gorenjska";18826;9656;9170
" ";" ";"Primorsko-notranjska";4517;2313;2204
" ";" ";"Goriška";9827;5051;4776
" ";" ";"Obalno-kraška";8888;4551;4337
" ";"Osnovne šole"
" ";" ";"SLOVENIJA";174996;89600;85396
" ";" ";"Pomurska";8844;4433;4411
" ";" ";"Podravska";25011;12742;12269
" ";" ";"Koroška";5917;2982;2935
" ";" ";"Savinjska";22142;11371;10771
" ";" ";"Zasavska";4468;2318;2150
" ";" ";"Posavska";6297;3202;3095
" ";" ";"Jugovzhodna Slovenija";12613;6529;6084
" ";" ";"Osrednjeslovenska";48060;24730;23330
" ";" ";"Gorenjska";18636;9529;9107
" ";" ";"Primorsko-notranjska";4479;2287;2192
" ";" ";"Goriška";9730;4990;4740
" ";" ";"Obalno-kraška";8799;4487;4312
" ";"Osnovne šole in zavodi s prilagojenim programom"
" ";" ";"SLOVENIJA";1902;1257;645
" ";" ";"Pomurska";87;60;27
" ";" ";"Podravska";313;194;119
" ";" ";"Koroška";51;34;17
" ";" ";"Savinjska";220;142;78
" ";" ";"Zasavska";61;36;25
" ";" ";"Posavska";56;38;18
" ";" ";"Jugovzhodna Slovenija";137;88;49
" ";" ";"Osrednjeslovenska";563;387;176
" ";" ";"Gorenjska";190;127;63
" ";" ";"Primorsko-notranjska";38;26;12
" ";" ";"Goriška";97;61;36
" ";" ";"Obalno-kraška";89;64;25
"2017/18"
" ";"Šole - SKUPAJ"
" ";" ";"SLOVENIJA";181301;93075;88226
" ";" ";"Pomurska";8985;4530;4455
" ";" ";"Podravska";25868;13194;12674
" ";" ";"Koroška";5983;3035;2948
" ";" ";"Savinjska";22719;11693;11026
" ";" ";"Zasavska";4662;2404;2258
" ";" ";"Posavska";6439;3241;3198
" ";" ";"Jugovzhodna Slovenija";13126;6787;6339
" ";" ";"Osrednjeslovenska";50260;25952;24308
" ";" ";"Gorenjska";19164;9852;9312
" ";" ";"Primorsko-notranjska";4702;2391;2311
" ";" ";"Goriška";10146;5237;4909
" ";" ";"Obalno-kraška";9247;4759;4488
" ";"Osnovne šole"
" ";" ";"SLOVENIJA";179230;91691;87539
" ";" ";"Pomurska";8892;4464;4428
" ";" ";"Podravska";25513;12950;12563
" ";" ";"Koroška";5937;3001;2936
" ";" ";"Savinjska";22481;11541;10940
" ";" ";"Zasavska";4600;2363;2237
" ";" ";"Posavska";6382;3203;3179
" ";" ";"Jugovzhodna Slovenija";12980;6691;6289
" ";" ";"Osrednjeslovenska";49645;25539;24106
" ";" ";"Gorenjska";18957;9718;9239
" ";" ";"Primorsko-notranjska";4658;2360;2298
" ";" ";"Goriška";10033;5168;4865
" ";" ";"Obalno-kraška";9152;4693;4459
" ";"Osnovne šole in zavodi s prilagojenim programom"
" ";" ";"SLOVENIJA";2071;1384;687
" ";" ";"Pomurska";93;66;27
" ";" ";"Podravska";355;244;111
" ";" ";"Koroška";46;34;12
" ";" ";"Savinjska";238;152;86
" ";" ";"Zasavska";62;41;21
" ";" ";"Posavska";57;38;19
" ";" ";"Jugovzhodna Slovenija";146;96;50
" ";" ";"Osrednjeslovenska";615;413;202
" ";" ";"Gorenjska";207;134;73
" ";" ";"Primorsko-notranjska";44;31;13
" ";" ";"Goriška";113;69;44
" ";" ";"Obalno-kraška";95;66;29

"Vir: Statistièni urad Republike Slovenije."

"Povezane vsebine: "
"- (seznam HREF= "
"http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatoteke=9586"
"target=_blank) Metodološka pojasnila"

