"Osnovne šole in uèenci po: ŠOLSKO LETO, VRSTA ŠOLE, STATISTIÈNA REGIJA"
", MERITVE"

" ";" ";" ";"Uèenci";"Deèki";"Deklice"
" ";" ";"Primorsko-notranjska";4424;2290;2134
" ";" ";"Goriška";10432;5328;5104
" ";" ";"Obalno-kraška";7819;4052;3767
" ";"Osnovne šole"
" ";" ";"SLOVENIJA";177535;91225;86310
" ";" ";"Pomurska";10511;5296;5215
" ";" ";"Podravska";26510;13655;12855
" ";" ";"Koroška";6828;3538;3290
" ";" ";"Savinjska";23598;12200;11398
" ";" ";"Zasavska";3801;1917;1884
" ";" ";"Posavska";6299;3319;2980
" ";" ";"Jugovzhodna Slovenija";13947;7139;6808
" ";" ";"Osrednjeslovenska";44712;22961;21751
" ";" ";"Gorenjska";18875;9670;9205
" ";" ";"Primorsko-notranjska";4386;2264;2122
" ";" ";"Goriška";10315;5257;5058
" ";" ";"Obalno-kraška";7753;4009;3744
" ";"Osnovne šole in zavodi s prilagojenim programom"
" ";" ";"SLOVENIJA";1997;1280;717
" ";" ";"Pomurska";131;79;52
" ";" ";"Podravska";384;233;151
" ";" ";"Koroška";88;56;32
" ";" ";"Savinjska";246;151;95
" ";" ";"Zasavska";54;33;21
" ";" ";"Posavska";54;35;19
" ";" ";"Jugovzhodna Slovenija";134;96;38
" ";" ";"Osrednjeslovenska";497;332;165
" ";" ";"Gorenjska";188;125;63
" ";" ";"Primorsko-notranjska";38;26;12
" ";" ";"Goriška";117;71;46
" ";" ";"Obalno-kraška";66;43;23
"2004/05"
" ";"Šole - SKUPAJ"
" ";" ";"SLOVENIJA";174315;89930;84385
" ";" ";"Pomurska";10296;5208;5088
" ";" ";"Podravska";26040;13473;12567
" ";" ";"Koroška";6732;3466;3266
" ";" ";"Savinjska";23302;12146;11156
" ";" ";"Zasavska";3697;1886;1811
" ";" ";"Posavska";6077;3181;2896
" ";" ";"Jugovzhodna Slovenija";13627;6974;6653
" ";" ";"Osrednjeslovenska";44191;22848;21343
" ";" ";"Gorenjska";18397;9485;8912
" ";" ";"Primorsko-notranjska";4308;2209;2099
" ";" ";"Goriška";10133;5179;4954
" ";" ";"Obalno-kraška";7515;3875;3640
" ";"Osnovne šole"
" ";" ";"SLOVENIJA";172521;88788;83733
" ";" ";"Pomurska";10163;5130;5033
" ";" ";"Podravska";25742;13283;12459
" ";" ";"Koroška";6662;3419;3243
" ";" ";"Savinjska";23078;12011;11067
" ";" ";"Zasavska";3643;1854;1789
" ";" ";"Posavska";6024;3150;2874
" ";" ";"Jugovzhodna Slovenija";13516;6902;6614
" ";" ";"Osrednjeslovenska";43713;22524;21189
" ";" ";"Gorenjska";18214;9369;8845
" ";" ";"Primorsko-notranjska";4276;2187;2089
" ";" ";"Goriška";10031;5118;4913
" ";" ";"Obalno-kraška";7459;3841;3618
" ";"Osnovne šole in zavodi s prilagojenim programom"
" ";" ";"SLOVENIJA";1794;1142;652
" ";" ";"Pomurska";133;78;55
" ";" ";"Podravska";298;190;108
" ";" ";"Koroška";70;47;23
" ";" ";"Savinjska";224;135;89
" ";" ";"Zasavska";54;32;22
" ";" ";"Posavska";53;31;22
" ";" ";"Jugovzhodna Slovenija";111;72;39
" ";" ";"Osrednjeslovenska";478;324;154
" ";" ";"Gorenjska";183;116;67
" ";" ";"Primorsko-notranjska";32;22;10
" ";" ";"Goriška";102;61;41
" ";" ";"Obalno-kraška";56;34;22
"2005/06"
" ";"Šole - SKUPAJ"
" ";" ";"SLOVENIJA";169599;87428;82171
" ";" ";"Pomurska";9927;4996;4931
" ";" ";"Podravska";25335;13039;12296
" ";" ";"Koroška";6494;3347;3147
" ";" ";"Savinjska";22688;11898;10790
" ";" ";"Zasavska";3593;1839;1754
" ";" ";"Posavska";5899;3089;2810
" ";" ";"Jugovzhodna Slovenija";13105;6693;6412
" ";" ";"Osrednjeslovenska";43246;22365;20881
" ";" ";"Gorenjska";17947;9261;8686
" ";" ";"Primorsko-notranjska";4223;2161;2062
" ";" ";"Goriška";9893;5020;4873
