"","Leto","Regija","Vrsta","Spol","Stevilo"
"599","2008/09","stalno bivališče neznano ali v tujini","Visokošolsko univerzitetno (1. bolonjska stopnja)","Moški",100
"600","2008/09","stalno bivališče neznano ali v tujini","Visokošolsko univerzitetno (1. bolonjska stopnja)","Ženske",178
"601","2008/09","stalno bivališče neznano ali v tujini","Visokošolsko univerzitetno (prejšnje)","Moški",200
"602","2008/09","stalno bivališče neznano ali v tujini","Visokošolsko univerzitetno (prejšnje)","Ženske",369
"603","2008/09","stalno bivališče neznano ali v tujini","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Moški",7
"604","2008/09","stalno bivališče neznano ali v tujini","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Ženske",21
"605","2008/09","stalno bivališče neznano ali v tujini","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Moški",60
"606","2008/09","stalno bivališče neznano ali v tujini","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Ženske",52
"607","2008/09","stalno bivališče neznano ali v tujini","Specialistično","Moški",3
"608","2008/09","stalno bivališče neznano ali v tujini","Specialistično","Ženske",8
"609","2008/09","stalno bivališče neznano ali v tujini","Magistrsko (prejšnje)","Moški",70
"610","2008/09","stalno bivališče neznano ali v tujini","Magistrsko (prejšnje)","Ženske",98
"611","2008/09","stalno bivališče neznano ali v tujini","Doktorsko (prejšnje)","Moški",51
"612","2008/09","stalno bivališče neznano ali v tujini","Doktorsko (prejšnje)","Ženske",62
"613","2008/09","stalno bivališče neznano ali v tujini","Doktorsko (3. bolonjska stopnja)","Moški",22
"614","2008/09","stalno bivališče neznano ali v tujini","Doktorsko (3. bolonjska stopnja)","Ženske",20
"615","2009/10","SLOVENIJA","Višje strokovno","Moški",8624
"616","2009/10","SLOVENIJA","Višje strokovno","Ženske",7970
"617","2009/10","SLOVENIJA","Visokošolsko strokovno (prejšnje)","Moški",5285
"618","2009/10","SLOVENIJA","Visokošolsko strokovno (prejšnje)","Ženske",5089
"619","2009/10","SLOVENIJA","Visokošolsko strokovno (1. bolonjska stopnja)","Moški",9667
"620","2009/10","SLOVENIJA","Visokošolsko strokovno (1. bolonjska stopnja)","Ženske",13081
"621","2009/10","SLOVENIJA","Visokošolsko univerzitetno (1. bolonjska stopnja)","Moški",9602
"622","2009/10","SLOVENIJA","Visokošolsko univerzitetno (1. bolonjska stopnja)","Ženske",14404
"623","2009/10","SLOVENIJA","Visokošolsko univerzitetno (prejšnje)","Moški",8815
"624","2009/10","SLOVENIJA","Visokošolsko univerzitetno (prejšnje)","Ženske",16436
"625","2009/10","SLOVENIJA","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Moški",570
"626","2009/10","SLOVENIJA","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Ženske",1118
"627","2009/10","SLOVENIJA","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Moški",2471
"628","2009/10","SLOVENIJA","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Ženske",4281
"629","2009/10","SLOVENIJA","Specialistično","Moški",100
"630","2009/10","SLOVENIJA","Specialistično","Ženske",69
"631","2009/10","SLOVENIJA","Magistrsko (prejšnje)","Moški",1615
"632","2009/10","SLOVENIJA","Magistrsko (prejšnje)","Ženske",2267
"633","2009/10","SLOVENIJA","Doktorsko (prejšnje)","Moški",723
"634","2009/10","SLOVENIJA","Doktorsko (prejšnje)","Ženske",575
"635","2009/10","SLOVENIJA","Doktorsko (3. bolonjska stopnja)","Moški",956
"636","2009/10","SLOVENIJA","Doktorsko (3. bolonjska stopnja)","Ženske",1155
"637","2009/10","Pomurska","Višje strokovno","Moški",473
"638","2009/10","Pomurska","Višje strokovno","Ženske",450
"639","2009/10","Pomurska","Visokošolsko strokovno (prejšnje)","Moški",235
"640","2009/10","Pomurska","Visokošolsko strokovno (prejšnje)","Ženske",308
"641","2009/10","Pomurska","Visokošolsko strokovno (1. bolonjska stopnja)","Moški",533
"642","2009/10","Pomurska","Visokošolsko strokovno (1. bolonjska stopnja)","Ženske",587
"643","2009/10","Pomurska","Visokošolsko univerzitetno (1. bolonjska stopnja)","Moški",478
"644","2009/10","Pomurska","Visokošolsko univerzitetno (1. bolonjska stopnja)","Ženske",628
"645","2009/10","Pomurska","Visokošolsko univerzitetno (prejšnje)","Moški",451
"646","2009/10","Pomurska","Visokošolsko univerzitetno (prejšnje)","Ženske",890
"647","2009/10","Pomurska","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Moški",24
"648","2009/10","Pomurska","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Ženske",52
"649","2009/10","Pomurska","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Moški",112
"650","2009/10","Pomurska","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Ženske",170
"651","2009/10","Pomurska","Specialistično","Moški",2
"652","2009/10","Pomurska","Specialistično","Ženske",2
"653","2009/10","Pomurska","Magistrsko (prejšnje)","Moški",74
"654","2009/10","Pomurska","Magistrsko (prejšnje)","Ženske",101
"655","2009/10","Pomurska","Doktorsko (prejšnje)","Moški",18
"656","2009/10","Pomurska","Doktorsko (prejšnje)","Ženske",17
"657","2009/10","Pomurska","Doktorsko (3. bolonjska stopnja)","Moški",32
"658","2009/10","Pomurska","Doktorsko (3. bolonjska stopnja)","Ženske",47
"659","2009/10","Podravska","Višje strokovno","Moški",1289
"660","2009/10","Podravska","Višje strokovno","Ženske",1432
"661","2009/10","Podravska","Visokošolsko strokovno (prejšnje)","Moški",578
"662","2009/10","Podravska","Visokošolsko strokovno (prejšnje)","Ženske",655
"663","2009/10","Podravska","Visokošolsko strokovno (1. bolonjska stopnja)","Moški",1373
"664","2009/10","Podravska","Visokošolsko strokovno (1. bolonjska stopnja)","Ženske",1727
"665","2009/10","Podravska","Visokošolsko univerzitetno (1. bolonjska stopnja)","Moški",1491
"666","2009/10","Podravska","Visokošolsko univerzitetno (1. bolonjska stopnja)","Ženske",1866
"667","2009/10","Podravska","Visokošolsko univerzitetno (prejšnje)","Moški",1237
"668","2009/10","Podravska","Visokošolsko univerzitetno (prejšnje)","Ženske",2302
"669","2009/10","Podravska","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Moški",57
"670","2009/10","Podravska","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Ženske",116
"671","2009/10","Podravska","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Moški",317
"672","2009/10","Podravska","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Ženske",594
"673","2009/10","Podravska","Specialistično","Moški",22
"674","2009/10","Podravska","Specialistično","Ženske",3
"675","2009/10","Podravska","Magistrsko (prejšnje)","Moški",195
"676","2009/10","Podravska","Magistrsko (prejšnje)","Ženske",360
"677","2009/10","Podravska","Doktorsko (prejšnje)","Moški",117
"678","2009/10","Podravska","Doktorsko (prejšnje)","Ženske",79
"679","2009/10","Podravska","Doktorsko (3. bolonjska stopnja)","Moški",156
"680","2009/10","Podravska","Doktorsko (3. bolonjska stopnja)","Ženske",189
"681","2009/10","Koroška","Višje strokovno","Moški",376
"682","2009/10","Koroška","Višje strokovno","Ženske",324
"683","2009/10","Koroška","Visokošolsko strokovno (prejšnje)","Moški",167
"684","2009/10","Koroška","Visokošolsko strokovno (prejšnje)","Ženske",195
"685","2009/10","Koroška","Visokošolsko strokovno (1. bolonjska stopnja)","Moški",336
"686","2009/10","Koroška","Visokošolsko strokovno (1. bolonjska stopnja)","Ženske",412
"687","2009/10","Koroška","Visokošolsko univerzitetno (1. bolonjska stopnja)","Moški",358
"688","2009/10","Koroška","Visokošolsko univerzitetno (1. bolonjska stopnja)","Ženske",481
"689","2009/10","Koroška","Visokošolsko univerzitetno (prejšnje)","Moški",317
"690","2009/10","Koroška","Visokošolsko univerzitetno (prejšnje)","Ženske",654
"691","2009/10","Koroška","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Moški",20
"692","2009/10","Koroška","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Ženske",43
"693","2009/10","Koroška","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Moški",54
"694","2009/10","Koroška","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Ženske",153
"695","2009/10","Koroška","Specialistično","Moški",6
"696","2009/10","Koroška","Specialistično","Ženske",1
"697","2009/10","Koroška","Magistrsko (prejšnje)","Moški",49
"698","2009/10","Koroška","Magistrsko (prejšnje)","Ženske",79
"699","2009/10","Koroška","Doktorsko (prejšnje)","Moški",18
"700","2009/10","Koroška","Doktorsko (prejšnje)","Ženske",6
"701","2009/10","Koroška","Doktorsko (3. bolonjska stopnja)","Moški",39
"702","2009/10","Koroška","Doktorsko (3. bolonjska stopnja)","Ženske",33
"703","2009/10","Savinjska","Višje strokovno","Moški",1258
"704","2009/10","Savinjska","Višje strokovno","Ženske",1133
"705","2009/10","Savinjska","Visokošolsko strokovno (prejšnje)","Moški",659
"706","2009/10","Savinjska","Visokošolsko strokovno (prejšnje)","Ženske",754
"707","2009/10","Savinjska","Visokošolsko strokovno (1. bolonjska stopnja)","Moški",1352
"708","2009/10","Savinjska","Visokošolsko strokovno (1. bolonjska stopnja)","Ženske",2000
"709","2009/10","Savinjska","Visokošolsko univerzitetno (1. bolonjska stopnja)","Moški",1114
"710","2009/10","Savinjska","Visokošolsko univerzitetno (1. bolonjska stopnja)","Ženske",1669
"711","2009/10","Savinjska","Visokošolsko univerzitetno (prejšnje)","Moški",1053
"712","2009/10","Savinjska","Visokošolsko univerzitetno (prejšnje)","Ženske",2008
"713","2009/10","Savinjska","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Moški",62
"714","2009/10","Savinjska","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Ženske",111
"715","2009/10","Savinjska","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Moški",269
"716","2009/10","Savinjska","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Ženske",667
"717","2009/10","Savinjska","Specialistično","Moški",14
"718","2009/10","Savinjska","Specialistično","Ženske",9
"719","2009/10","Savinjska","Magistrsko (prejšnje)","Moški",244
"720","2009/10","Savinjska","Magistrsko (prejšnje)","Ženske",314
"721","2009/10","Savinjska","Doktorsko (prejšnje)","Moški",82
"722","2009/10","Savinjska","Doktorsko (prejšnje)","Ženske",59
"723","2009/10","Savinjska","Doktorsko (3. bolonjska stopnja)","Moški",86
"724","2009/10","Savinjska","Doktorsko (3. bolonjska stopnja)","Ženske",102
"725","2009/10","Zasavska","Višje strokovno","Moški",205
"726","2009/10","Zasavska","Višje strokovno","Ženske",200
"727","2009/10","Zasavska","Visokošolsko strokovno (prejšnje)","Moški",109
"728","2009/10","Zasavska","Visokošolsko strokovno (prejšnje)","Ženske",118
"729","2009/10","Zasavska","Visokošolsko strokovno (1. bolonjska stopnja)","Moški",145
"730","2009/10","Zasavska","Visokošolsko strokovno (1. bolonjska stopnja)","Ženske",266
"731","2009/10","Zasavska","Visokošolsko univerzitetno (1. bolonjska stopnja)","Moški",167
"732","2009/10","Zasavska","Visokošolsko univerzitetno (1. bolonjska stopnja)","Ženske",297
"733","2009/10","Zasavska","Visokošolsko univerzitetno (prejšnje)","Moški",141
"734","2009/10","Zasavska","Visokošolsko univerzitetno (prejšnje)","Ženske",322
"735","2009/10","Zasavska","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Moški",3
"736","2009/10","Zasavska","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Ženske",25
"737","2009/10","Zasavska","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Moški",44
"738","2009/10","Zasavska","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Ženske",79
"739","2009/10","Zasavska","Specialistično","Moški",4
"740","2009/10","Zasavska","Specialistično","Ženske",1
"741","2009/10","Zasavska","Magistrsko (prejšnje)","Moški",23
"742","2009/10","Zasavska","Magistrsko (prejšnje)","Ženske",44
"743","2009/10","Zasavska","Doktorsko (prejšnje)","Moški",10
"744","2009/10","Zasavska","Doktorsko (prejšnje)","Ženske",7
"745","2009/10","Zasavska","Doktorsko (3. bolonjska stopnja)","Moški",16
"746","2009/10","Zasavska","Doktorsko (3. bolonjska stopnja)","Ženske",15
"747","2009/10","Posavska","Višje strokovno","Moški",281
"748","2009/10","Posavska","Višje strokovno","Ženske",234
"749","2009/10","Posavska","Visokošolsko strokovno (prejšnje)","Moški",192
"750","2009/10","Posavska","Visokošolsko strokovno (prejšnje)","Ženske",184
"751","2009/10","Posavska","Visokošolsko strokovno (1. bolonjska stopnja)","Moški",421
"752","2009/10","Posavska","Visokošolsko strokovno (1. bolonjska stopnja)","Ženske",515
"753","2009/10","Posavska","Visokošolsko univerzitetno (1. bolonjska stopnja)","Moški",320
"754","2009/10","Posavska","Visokošolsko univerzitetno (1. bolonjska stopnja)","Ženske",476
"755","2009/10","Posavska","Visokošolsko univerzitetno (prejšnje)","Moški",299
"756","2009/10","Posavska","Visokošolsko univerzitetno (prejšnje)","Ženske",576
"757","2009/10","Posavska","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Moški",8
"758","2009/10","Posavska","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Ženske",36
"759","2009/10","Posavska","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Moški",77
"760","2009/10","Posavska","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Ženske",125
"761","2009/10","Posavska","Specialistično","Moški",3
"762","2009/10","Posavska","Magistrsko (prejšnje)","Moški",30
"763","2009/10","Posavska","Magistrsko (prejšnje)","Ženske",44
"764","2009/10","Posavska","Doktorsko (prejšnje)","Moški",26
"765","2009/10","Posavska","Doktorsko (prejšnje)","Ženske",7
"766","2009/10","Posavska","Doktorsko (3. bolonjska stopnja)","Moški",20
"767","2009/10","Posavska","Doktorsko (3. bolonjska stopnja)","Ženske",29
"768","2009/10","Jugovzhodna Slovenija","Višje strokovno","Moški",647
"769","2009/10","Jugovzhodna Slovenija","Višje strokovno","Ženske",595
"770","2009/10","Jugovzhodna Slovenija","Visokošolsko strokovno (prejšnje)","Moški",567
"771","2009/10","Jugovzhodna Slovenija","Visokošolsko strokovno (prejšnje)","Ženske",440
"772","2009/10","Jugovzhodna Slovenija","Visokošolsko strokovno (1. bolonjska stopnja)","Moški",772
"773","2009/10","Jugovzhodna Slovenija","Visokošolsko strokovno (1. bolonjska stopnja)","Ženske",1062
"774","2009/10","Jugovzhodna Slovenija","Visokošolsko univerzitetno (1. bolonjska stopnja)","Moški",594
"775","2009/10","Jugovzhodna Slovenija","Visokošolsko univerzitetno (1. bolonjska stopnja)","Ženske",996
"776","2009/10","Jugovzhodna Slovenija","Visokošolsko univerzitetno (prejšnje)","Moški",613
"777","2009/10","Jugovzhodna Slovenija","Visokošolsko univerzitetno (prejšnje)","Ženske",1187
"778","2009/10","Jugovzhodna Slovenija","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Moški",37
"779","2009/10","Jugovzhodna Slovenija","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Ženske",77
"780","2009/10","Jugovzhodna Slovenija","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Moški",175
"781","2009/10","Jugovzhodna Slovenija","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Ženske",259
"782","2009/10","Jugovzhodna Slovenija","Specialistično","Moški",6
"783","2009/10","Jugovzhodna Slovenija","Specialistično","Ženske",5
"784","2009/10","Jugovzhodna Slovenija","Magistrsko (prejšnje)","Moški",101
"785","2009/10","Jugovzhodna Slovenija","Magistrsko (prejšnje)","Ženske",104
"786","2009/10","Jugovzhodna Slovenija","Doktorsko (prejšnje)","Moški",44
"787","2009/10","Jugovzhodna Slovenija","Doktorsko (prejšnje)","Ženske",20
"788","2009/10","Jugovzhodna Slovenija","Doktorsko (3. bolonjska stopnja)","Moški",46
"789","2009/10","Jugovzhodna Slovenija","Doktorsko (3. bolonjska stopnja)","Ženske",60
"790","2009/10","Osrednjeslovenska","Višje strokovno","Moški",1973
"791","2009/10","Osrednjeslovenska","Višje strokovno","Ženske",1868
"792","2009/10","Osrednjeslovenska","Visokošolsko strokovno (prejšnje)","Moški",1302
"793","2009/10","Osrednjeslovenska","Visokošolsko strokovno (prejšnje)","Ženske",1159
"794","2009/10","Osrednjeslovenska","Visokošolsko strokovno (1. bolonjska stopnja)","Moški",2424
"795","2009/10","Osrednjeslovenska","Visokošolsko strokovno (1. bolonjska stopnja)","Ženske",3375
"796","2009/10","Osrednjeslovenska","Visokošolsko univerzitetno (1. bolonjska stopnja)","Moški",2684
"797","2009/10","Osrednjeslovenska","Visokošolsko univerzitetno (1. bolonjska stopnja)","Ženske",4058
"798","2009/10","Osrednjeslovenska","Visokošolsko univerzitetno (prejšnje)","Moški",2512
"799","2009/10","Osrednjeslovenska","Visokošolsko univerzitetno (prejšnje)","Ženske",4337
"800","2009/10","Osrednjeslovenska","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Moški",200
"801","2009/10","Osrednjeslovenska","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Ženske",335
"802","2009/10","Osrednjeslovenska","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Moški",700
"803","2009/10","Osrednjeslovenska","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Ženske",1056
"804","2009/10","Osrednjeslovenska","Specialistično","Moški",19
"805","2009/10","Osrednjeslovenska","Specialistično","Ženske",24
"806","2009/10","Osrednjeslovenska","Magistrsko (prejšnje)","Moški",452
"807","2009/10","Osrednjeslovenska","Magistrsko (prejšnje)","Ženske",633
"808","2009/10","Osrednjeslovenska","Doktorsko (prejšnje)","Moški",219
"809","2009/10","Osrednjeslovenska","Doktorsko (prejšnje)","Ženske",208
"810","2009/10","Osrednjeslovenska","Doktorsko (3. bolonjska stopnja)","Moški",286
"811","2009/10","Osrednjeslovenska","Doktorsko (3. bolonjska stopnja)","Ženske",366
"812","2009/10","Gorenjska","Višje strokovno","Moški",1022
"813","2009/10","Gorenjska","Višje strokovno","Ženske",895
"814","2009/10","Gorenjska","Visokošolsko strokovno (prejšnje)","Moški",502
"815","2009/10","Gorenjska","Visokošolsko strokovno (prejšnje)","Ženske",490
"816","2009/10","Gorenjska","Visokošolsko strokovno (1. bolonjska stopnja)","Moški",906
"817","2009/10","Gorenjska","Visokošolsko strokovno (1. bolonjska stopnja)","Ženske",1329
"818","2009/10","Gorenjska","Visokošolsko univerzitetno (1. bolonjska stopnja)","Moški",942
"819","2009/10","Gorenjska","Visokošolsko univerzitetno (1. bolonjska stopnja)","Ženske",1489
"820","2009/10","Gorenjska","Visokošolsko univerzitetno (prejšnje)","Moški",872
"821","2009/10","Gorenjska","Visokošolsko univerzitetno (prejšnje)","Ženske",1598
"822","2009/10","Gorenjska","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Moški",65
"823","2009/10","Gorenjska","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Ženske",129
"824","2009/10","Gorenjska","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Moški",241
"825","2009/10","Gorenjska","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Ženske",374
"826","2009/10","Gorenjska","Specialistično","Moški",8
"827","2009/10","Gorenjska","Specialistično","Ženske",6
"828","2009/10","Gorenjska","Magistrsko (prejšnje)","Moški",197
"829","2009/10","Gorenjska","Magistrsko (prejšnje)","Ženske",213
"830","2009/10","Gorenjska","Doktorsko (prejšnje)","Moški",61
"831","2009/10","Gorenjska","Doktorsko (prejšnje)","Ženske",57
"832","2009/10","Gorenjska","Doktorsko (3. bolonjska stopnja)","Moški",77
"833","2009/10","Gorenjska","Doktorsko (3. bolonjska stopnja)","Ženske",79
"834","2009/10","Primorsko-notranjska","Višje strokovno","Moški",268
"835","2009/10","Primorsko-notranjska","Višje strokovno","Ženske",174
"836","2009/10","Primorsko-notranjska","Visokošolsko strokovno (prejšnje)","Moški",160
"837","2009/10","Primorsko-notranjska","Visokošolsko strokovno (prejšnje)","Ženske",149
"838","2009/10","Primorsko-notranjska","Visokošolsko strokovno (1. bolonjska stopnja)","Moški",218
"839","2009/10","Primorsko-notranjska","Visokošolsko strokovno (1. bolonjska stopnja)","Ženske",364
"840","2009/10","Primorsko-notranjska","Visokošolsko univerzitetno (1. bolonjska stopnja)","Moški",203
"841","2009/10","Primorsko-notranjska","Visokošolsko univerzitetno (1. bolonjska stopnja)","Ženske",379
"842","2009/10","Primorsko-notranjska","Visokošolsko univerzitetno (prejšnje)","Moški",218
"843","2009/10","Primorsko-notranjska","Visokošolsko univerzitetno (prejšnje)","Ženske",445
"844","2009/10","Primorsko-notranjska","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Moški",13
"845","2009/10","Primorsko-notranjska","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Ženske",25
"846","2009/10","Primorsko-notranjska","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Moški",56
"847","2009/10","Primorsko-notranjska","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Ženske",140
"848","2009/10","Primorsko-notranjska","Specialistično","Moški",3
"849","2009/10","Primorsko-notranjska","Specialistično","Ženske",3
"850","2009/10","Primorsko-notranjska","Magistrsko (prejšnje)","Moški",36
"851","2009/10","Primorsko-notranjska","Magistrsko (prejšnje)","Ženske",57
"852","2009/10","Primorsko-notranjska","Doktorsko (prejšnje)","Moški",8
"853","2009/10","Primorsko-notranjska","Doktorsko (prejšnje)","Ženske",6
"854","2009/10","Primorsko-notranjska","Doktorsko (3. bolonjska stopnja)","Moški",14
"855","2009/10","Primorsko-notranjska","Doktorsko (3. bolonjska stopnja)","Ženske",28
"856","2009/10","Goriška","Višje strokovno","Moški",523
"857","2009/10","Goriška","Višje strokovno","Ženske",361
"858","2009/10","Goriška","Visokošolsko strokovno (prejšnje)","Moški",498
"859","2009/10","Goriška","Visokošolsko strokovno (prejšnje)","Ženske",328
"860","2009/10","Goriška","Visokošolsko strokovno (1. bolonjska stopnja)","Moški",577
"861","2009/10","Goriška","Visokošolsko strokovno (1. bolonjska stopnja)","Ženske",699
"862","2009/10","Goriška","Visokošolsko univerzitetno (1. bolonjska stopnja)","Moški",561
"863","2009/10","Goriška","Visokošolsko univerzitetno (1. bolonjska stopnja)","Ženske",975
"864","2009/10","Goriška","Visokošolsko univerzitetno (prejšnje)","Moški",580
"865","2009/10","Goriška","Visokošolsko univerzitetno (prejšnje)","Ženske",1121
"866","2009/10","Goriška","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Moški",37
"867","2009/10","Goriška","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Ženske",56
"868","2009/10","Goriška","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Moški",135
"869","2009/10","Goriška","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Ženske",236
"870","2009/10","Goriška","Specialistično","Moški",11
"871","2009/10","Goriška","Specialistično","Ženske",2
"872","2009/10","Goriška","Magistrsko (prejšnje)","Moški",80
"873","2009/10","Goriška","Magistrsko (prejšnje)","Ženske",117
"874","2009/10","Goriška","Doktorsko (prejšnje)","Moški",42
"875","2009/10","Goriška","Doktorsko (prejšnje)","Ženske",23
"876","2009/10","Goriška","Doktorsko (3. bolonjska stopnja)","Moški",43
"877","2009/10","Goriška","Doktorsko (3. bolonjska stopnja)","Ženske",51
"878","2009/10","Obalno-kraška","Višje strokovno","Moški",254
"879","2009/10","Obalno-kraška","Višje strokovno","Ženske",250
"880","2009/10","Obalno-kraška","Visokošolsko strokovno (prejšnje)","Moški",284
"881","2009/10","Obalno-kraška","Visokošolsko strokovno (prejšnje)","Ženske",258
"882","2009/10","Obalno-kraška","Visokošolsko strokovno (1. bolonjska stopnja)","Moški",524
"883","2009/10","Obalno-kraška","Visokošolsko strokovno (1. bolonjska stopnja)","Ženske",626
"884","2009/10","Obalno-kraška","Visokošolsko univerzitetno (1. bolonjska stopnja)","Moški",481
"885","2009/10","Obalno-kraška","Visokošolsko univerzitetno (1. bolonjska stopnja)","Ženske",765
"886","2009/10","Obalno-kraška","Visokošolsko univerzitetno (prejšnje)","Moški",402
"887","2009/10","Obalno-kraška","Visokošolsko univerzitetno (prejšnje)","Ženske",756
"888","2009/10","Obalno-kraška","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Moški",22
"889","2009/10","Obalno-kraška","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Ženske",66
"890","2009/10","Obalno-kraška","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Moški",154
"891","2009/10","Obalno-kraška","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Ženske",232
"892","2009/10","Obalno-kraška","Specialistično","Moški",1
"893","2009/10","Obalno-kraška","Specialistično","Ženske",6
"894","2009/10","Obalno-kraška","Magistrsko (prejšnje)","Moški",85
"895","2009/10","Obalno-kraška","Magistrsko (prejšnje)","Ženske",135
"896","2009/10","Obalno-kraška","Doktorsko (prejšnje)","Moški",35
"897","2009/10","Obalno-kraška","Doktorsko (prejšnje)","Ženske",39
"898","2009/10","Obalno-kraška","Doktorsko (3. bolonjska stopnja)","Moški",50
"899","2009/10","Obalno-kraška","Doktorsko (3. bolonjska stopnja)","Ženske",70
"900","2009/10","stalno bivališče neznano ali v tujini","Višje strokovno","Moški",55
"901","2009/10","stalno bivališče neznano ali v tujini","Višje strokovno","Ženske",54
"902","2009/10","stalno bivališče neznano ali v tujini","Visokošolsko strokovno (prejšnje)","Moški",32
"903","2009/10","stalno bivališče neznano ali v tujini","Visokošolsko strokovno (prejšnje)","Ženske",51
"904","2009/10","stalno bivališče neznano ali v tujini","Visokošolsko strokovno (1. bolonjska stopnja)","Moški",86
"905","2009/10","stalno bivališče neznano ali v tujini","Visokošolsko strokovno (1. bolonjska stopnja)","Ženske",119
"906","2009/10","stalno bivališče neznano ali v tujini","Visokošolsko univerzitetno (1. bolonjska stopnja)","Moški",209
"907","2009/10","stalno bivališče neznano ali v tujini","Visokošolsko univerzitetno (1. bolonjska stopnja)","Ženske",325
"908","2009/10","stalno bivališče neznano ali v tujini","Visokošolsko univerzitetno (prejšnje)","Moški",120
"909","2009/10","stalno bivališče neznano ali v tujini","Visokošolsko univerzitetno (prejšnje)","Ženske",240
"910","2009/10","stalno bivališče neznano ali v tujini","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Moški",22
"911","2009/10","stalno bivališče neznano ali v tujini","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Ženske",47
"912","2009/10","stalno bivališče neznano ali v tujini","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Moški",137
"913","2009/10","stalno bivališče neznano ali v tujini","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Ženske",196
"914","2009/10","stalno bivališče neznano ali v tujini","Specialistično","Moški",1
"915","2009/10","stalno bivališče neznano ali v tujini","Specialistično","Ženske",7
"916","2009/10","stalno bivališče neznano ali v tujini","Magistrsko (prejšnje)","Moški",49
"917","2009/10","stalno bivališče neznano ali v tujini","Magistrsko (prejšnje)","Ženske",66
"918","2009/10","stalno bivališče neznano ali v tujini","Doktorsko (prejšnje)","Moški",43
"919","2009/10","stalno bivališče neznano ali v tujini","Doktorsko (prejšnje)","Ženske",47
"920","2009/10","stalno bivališče neznano ali v tujini","Doktorsko (3. bolonjska stopnja)","Moški",91
